AppID,Permissions required
1,1
1,3
1,4
1,5
1,2
1,9
1,10
1,12
2,1
2,2
2,3
2,4
2,5
2,7
2,8
2,9
2,10
2,12
3,1
3,2
3,3
3,4
3,5
3,12
4,1
4,2
4,4
4,5
4,9
4,3
5,3
5,5
5,9
5,1
5,6
5,2
5,4
6,1
6,12
6,3
6,4
6,5
6,2
6,8
6,9
7,4
7,5
7,10
8,1
8,3
8,4
8,5
8,2
8,8
8,9
9,5
9,11
9,1
9,3
9,4
9,2
9,8
10,1
10,2
10,3
10,4
10,5
10,6
10,8
10,9
11,1
11,3
11,4
11,5
11,2
11,8
11,9
12,1
12,3
12,4
12,2
12,8
13,1
13,2
13,3
13,4
13,5
13,9
14,1
14,3
14,4
14,8
15,2
15,4
15,5
15,8
16,4
16,3
16,5
16,2
16,8
16,9
17,6
17,1
17,3
17,4
17,5
17,2
17,9
18,1
18,4
18,5
18,2
18,8
19,4
19,2
19,8
20,4
20,5
20,9
20,3
21,1
21,3
21,4
21,5
21,9
22,1
22,3
22,4
22,5
22,2
22,9
23,1
23,4
23,2
24,1
24,4
24,2
24,9
25,3
25,4
25,5
25,9
26,3
26,1
26,4
27,3
27,2
27,5
28,4
28,5
29,1
29,3
29,4
29,9
30,2
30,3
30,4
31,4
31,5
31,2
31,1
31,3
31,9
32,1
32,5
32,9
32,3
32,4
32,2
32,10
33,5
33,1
33,4
33,9
34,1
34,5
34,3
34,4
34,2
34,9
34,10
35,5
35,1
35,3
35,4
35,2
35,9
36,1
36,3
36,4
36,5
36,2
36,9
37,2
37,1
37,3
37,4
37,5
37,8
37,9
37,10
38,1
38,3
38,4
38,5
38,2
38,9
38,10
39,6
39,1
39,4
39,5
39,2
39,10
40,1
40,4
40,5
40,9
41,5
41,11
41,1
42,1
42,3
42,4
42,9
42,11
43,8
43,12
43,1
43,3
43,4
43,5
43,2
43,9
44,5
44,1
44,3
44,4
44,2
44,8
44,9
44,10
45,3
45,5
45,9
45,1
45,4
45,10
46,1
46,3
46,4
46,5
46,2
46,9
46,10
47,1
47,3
47,4
47,5
47,2
47,9
47,10
48,1
48,3
48,5
48,2
48,9
48,10
